,0,1,2,3,4
295,513,富国高端制造行业股票,http://fund.eastmoney.com/000513.html,0.43%,0.15%
296,516,富国祥利一年期定期开放债券型A,http://fund.eastmoney.com/000516.html,0.03%,---
297,517,富国祥利一年期定期开放债券型C,http://fund.eastmoney.com/000517.html,0.03%,---
298,520,上银新兴价值成长混合,http://fund.eastmoney.com/000520.html,0.86%,0.15%
299,521,诺安瑞鑫定开债券,http://fund.eastmoney.com/000521.html,---,---
300,522,华润元大信息传媒科技混合,http://fund.eastmoney.com/000522.html,1.74%,0.15%
301,523,国投瑞银医疗保健混合A,http://fund.eastmoney.com/000523.html,0.59%,0.15%
302,524,上投摩根民生需求股票,http://fund.eastmoney.com/000524.html,0.41%,0.15%
303,526,国泰浓益灵活配置混合A,http://fund.eastmoney.com/000526.html,0.38%,0.08%
304,527,南方新优享灵活配置混合A,http://fund.eastmoney.com/000527.html,0.08%,0.15%
305,529,广发竞争优势混合A,http://fund.eastmoney.com/000529.html,0.24%,0.15%
306,530,招商丰盛稳定增长混合A,http://fund.eastmoney.com/000530.html,0.60%,0.15%
307,531,东吴阿尔法混合,http://fund.eastmoney.com/000531.html,-0.19%,0.15%
308,532,景顺长城优势企业混合,http://fund.eastmoney.com/000532.html,0.13%,0.15%
309,534,长盛高端装备混合,http://fund.eastmoney.com/000534.html,1.28%,0.15%
310,535,长盛航天海工装备灵活配置混合,http://fund.eastmoney.com/000535.html,0.89%,0.15%
311,536,前海开源可转债债券,http://fund.eastmoney.com/000536.html,0.99%,0.08%
312,538,诺安优势行业混合A,http://fund.eastmoney.com/000538.html,0.61%,0.15%
313,541,华商创新成长混合发起式,http://fund.eastmoney.com/000541.html,0.54%,0.15%
314,545,中邮核心竞争力灵活配置混合,http://fund.eastmoney.com/000545.html,1.49%,0.15%
315,546,兴业定开债A,http://fund.eastmoney.com/000546.html,---,0.06%
316,547,建信健康民生混合,http://fund.eastmoney.com/000547.html,1.99%,0.15%
317,549,华安大国新经济股票,http://fund.eastmoney.com/000549.html,1.25%,0.15%
318,550,广发新动力混合,http://fund.eastmoney.com/000550.html,0.14%,0.15%
319,551,信诚幸福消费混合,http://fund.eastmoney.com/000551.html,0.85%,0.15%
